train_bce_mask:0.021155180828645825 train_dice:0.06887745512649417 train_bce_center:0.005087691609514877 train_dice_center:0.165498498827219 train_l2_width:0.01057948344387114 train_l2_height:0.010222827061079442 train_loss:0.28142113275825975 
train_bce_mask:0.02078288942575455 train_dice:0.06832192651927471 train_bce_center:0.004912174909259192 train_dice_center:0.16094690877944232 train_l2_width:0.01095047959825024 train_l2_height:0.010172967333346605 train_loss:0.27608734779059885 
train_bce_mask:0.020732834888622164 train_dice:0.0690831826068461 train_bce_center:0.0048390217067208145 train_dice_center:0.16150511913001536 train_l2_width:0.011002383555751293 train_l2_height:0.009744084090925753 train_loss:0.2769066236913204 
train_bce_mask:0.020789156458340584 train_dice:0.06834790902212262 train_bce_center:0.0049727306963177394 train_dice_center:0.16227277517318725 train_l2_width:0.011109311459586024 train_l2_height:0.01011996427550912 train_loss:0.2776118453592062 
train_bce_mask:0.020153218368068337 train_dice:0.0675264310091734 train_bce_center:0.004989189462503418 train_dice_center:0.16204926893115043 train_l2_width:0.010994683869648724 train_l2_height:0.010059867473319172 train_loss:0.275772662833333 
train_bce_mask:0.0203164039645344 train_dice:0.06762938061729074 train_bce_center:0.004939703561831266 train_dice_center:0.15953813958913088 train_l2_width:0.01095577102387324 train_l2_height:0.010040319408290088 train_loss:0.2734197162091732 
train_bce_mask:0.02022899971343577 train_dice:0.06660525789484381 train_bce_center:0.004887300691916607 train_dice_center:0.15812288969755173 train_l2_width:0.010954380332259461 train_l2_height:0.009939851588569582 train_loss:0.27073868066072465 
train_bce_mask:0.020587085955776276 train_dice:0.0666006363928318 train_bce_center:0.004979366407496855 train_dice_center:0.15949425101280212 train_l2_width:0.011032094340771436 train_l2_height:0.009785901790019124 train_loss:0.27247933819890024 
train_bce_mask:0.01995739371050149 train_dice:0.0660497066564858 train_bce_center:0.004921276331879198 train_dice_center:0.1587876917794347 train_l2_width:0.011144004459492863 train_l2_height:0.009585618204437197 train_loss:0.2704456880688667 
train_bce_mask:0.020104480162262916 train_dice:0.06665779668837786 train_bce_center:0.0048707187816035 train_dice_center:0.15655445642769336 train_l2_width:0.010904180374927819 train_l2_height:0.010114392271498218 train_loss:0.2692060276865959 
train_bce_mask:0.020043227588757873 train_dice:0.06639799978584052 train_bce_center:0.004873684042831883 train_dice_center:0.15675616189837455 train_l2_width:0.010919368430040776 train_l2_height:0.009436418983386829 train_loss:0.26842686124145987 
train_bce_mask:0.01977178230881691 train_dice:0.06657122448086739 train_bce_center:0.004906969208968803 train_dice_center:0.15660978760570288 train_l2_width:0.010610215330962092 train_l2_height:0.009374701662454753 train_loss:0.26784468479454515 
